Date,Region,Place,Trigger,Weak Layer,Depth_inches,Width_inches,Vertical_inches,Aspect,Elevation_feet
3/18/2011,Salt Lake,Banana Days,Skier,Density Change,6.0,300.0,1200.0,East,9900.0
3/18/2011,Salt Lake,Porter Fork,Unknown,Unknown,16.0,840.0,1200.0,Northeast,9600.0
3/17/2011,Uintas,Uintas,Natural,New Snow/Old Snow Interface,20.0,3600.0,7200.0,Northeast,10500.0
3/16/2011,Salt Lake,White Pine Dup,Natural,Surface Hoar,72.0,3600.0,6000.0,Northeast,10700.0
3/19/2011,Salt Lake,Summit Park,Natural,Unknown,10.0,600.0,1200.0,North,9000.0
3/20/2011,Salt Lake,Rocky Point,Skier,New Snow/Old Snow Interface,7.0,1200.0,480.0,North,10100.0
3/20/2011,Salt Lake,Pioneer Ridge,Snowboarder,New Snow/Old Snow Interface,10.0,720.0,1200.0,Northeast,10100.0
3/20/2011,Salt Lake,Hide A Way Park,Skier,Density Change,12.0,600.0,2400.0,North,10000.0
3/20/2011,Salt Lake,Mill D North,Skier,New Snow,6.0,180.0,360.0,Northeast,8300.0
3/22/2011,Salt Lake,Alta Periphery,Skier,Density Change,10.0,2400.0,7200.0,Northeast,10400.0
3/22/2011,Provo,Wooley Hole,Natural,Density Change,24.0,4800.0,12000.0,Northeast,9900.0
3/22/2011,Logan,Millville Peak,Natural,Surface Hoar,42.0,2100.0,9600.0,North,9200.0
3/22/2011,Salt Lake,Wolverine,Skier,New Snow/Old Snow Interface,12.0,120.0,6000.0,North,10700.0
3/22/2011,Provo,Chablis,Unknown,New Snow/Old Snow Interface,16.0,1200.0,3600.0,Northeast,9500.0
3/21/2011,Salt Lake,Mineral Fork,Natural,Facets,48.0,6000.0,15000.0,North,9700.0
3/22/2011,Logan,Castle Rock,Natural,Facets,96.0,6000.0,9600.0,North,9600.0
3/22/2011,Logan,Cornice Ridge,Natural,New Snow/Old Snow Interface,36.0,12000.0,7200.0,Northeast,9000.0
3/22/2011,Logan,Cornice Ridge,Natural,Unknown,42.0,12000.0,7200.0,Northeast,9300.0
3/25/2011,Salt Lake,Scotties Bowl,Skier,New Snow/Old Snow Interface,6.0,240.0,360.0,North,9700.0
3/25/2011,Ogden,Powder Mountain Backcountry,Skier,Surface Hoar,30.0,720.0,480.0,North,8100.0
3/24/2011,Salt Lake,Under Mt. Gog  East,Snowmobiler,Unknown,12.0,1200.0,2400.0,East,8300.0
3/25/2011,Salt Lake,Mineral Fork,Natural,Unknown,60.0,720.0,15000.0,East,9400.0
3/26/2011,Salt Lake,Cinder Chutes,Skier,New Snow,9.0,2400.0,2400.0,East,9000.0
3/26/2011,Salt Lake,Reynolds Pk,Snowboarder,New Snow/Old Snow Interface,5.0,1800.0,9600.0,South,8900.0
3/27/2011,Salt Lake,Silver Fork,Skier,Unknown,10.0,840.0,1800.0,East,9800.0
3/27/2011,Provo,Chablis,Natural,Unknown,2.0,1800.0,4800.0,East,9900.0
3/28/2011,Provo,Cascade,Natural,Unknown,72.0,9600.0,48000.0,Northeast,10800.0
3/29/2011,Salt Lake,Banana Days,Natural,New Snow/Old Snow Interface,24.0,240.0,12000.0,Southeast,10100.0
3/29/2011,Logan,Providence Canyon,Skier,New Snow/Old Snow Interface,12.0,360.0,2400.0,West,7500.0
3/27/2011,Provo,American Fork,Natural,Facets,72.0,60000.0,36000.0,Northeast,11200.0
3/29/2011,Ogden,Willard Peak,Snowmobiler,New Snow,15.0,3000.0,4800.0,East,9200.0
3/29/2011,Salt Lake,Brighton Perimeter,Skier,New Snow/Old Snow Interface,16.0,720.0,7200.0,West,10300.0
3/31/2011,Logan,Wellsville Cone,Natural,Unknown,18.0,3600.0,12000.0,Southeast,9300.0
3/31/2011,Logan,North Castle Rock,Natural,Unknown,30.0,3600.0,7200.0,East,9500.0
4/1/2011,Uintas,Reids Peak,Natural,Unknown,10.0,480.0,7200.0,East,11300.0
4/4/2011,Salt Lake,Broads Fork,Unknown,Ground Interface,48.0,840.0,360.0,East,9000.0
4/4/2011,Provo,Slide Canyon,Natural,Density Change,12.0,600.0,12000.0,Southeast,10000.0
4/6/2011,Salt Lake,Emma Ridges,Skier,New Snow/Old Snow Interface,4.0,1200.0,6000.0,Southeast,10000.0
4/8/2011,Salt Lake,Squaretop,Skier,Density Change,6.0,300.0,9600.0,East,9800.0
4/8/2011,Salt Lake,Big Cottonwood Canyon,Skier,New Snow/Old Snow Interface,8.0,240.0,3600.0,North,7900.0
4/8/2011,Salt Lake,Kessler,Skier,New Snow/Old Snow Interface,12.0,120.0,1200.0,Northeast,9400.0
4/10/2011,Salt Lake,Brighton Perimeter,Skier,New Snow,10.0,4800.0,7200.0,Northeast,10500.0
4/10/2011,Logan,"Cornice Ridge, Big Cornice",Natural,New Snow/Old Snow Interface,6.0,3600.0,6000.0,East,9300.0
4/10/2011,Logan,"Cornice Ridge, Big Cornice",Snowmobiler,New Snow/Old Snow Interface,6.0,3600.0,6000.0,East,9300.0
4/10/2011,Logan,Pinball Alley,Unknown,New Snow/Old Snow Interface,5.0,1800.0,1200.0,East,8700.0
4/10/2011,Logan,Ham Hollow,Natural,Facets,24.0,3000.0,12000.0,Southeast,7800.0
4/11/2011,Logan,"Naomi Peak, East Face Area",Unknown,New Snow/Old Snow Interface,16.0,960.0,1500.0,East,9300.0
4/9/2011,Provo,Bunnels,Natural,Unknown,36.0,8400.0,36000.0,North,10600.0
4/14/2011,Salt Lake,Catchers Mit,Skier,New Snow/Old Snow Interface,12.0,1800.0,3600.0,North,9700.0
4/14/2011,Salt Lake,Cardiff Peak,Skier,Density Change,15.0,360.0,8400.0,Southeast,10400.0
4/14/2011,Salt Lake,Scotties Bowl,Skier,New Snow,6.0,240.0,1200.0,Northeast,9800.0
4/16/2011,Salt Lake,White Pine Lake,Snowboarder,New Snow/Old Snow Interface,12.0,720.0,7200.0,North,8700.0
4/18/2011,Logan,Beaver Side Country,Skier,Unknown,10.0,360.0,3600.0,East,7600.0
4/19/2011,Salt Lake,Mill B South,Unknown,Unknown,60.0,3000.0,9600.0,Northeast,9200.0
4/19/2011,Salt Lake,Tuscarora,Skier,New Snow/Old Snow Interface,10.0,1080.0,5400.0,Northeast,10000.0
4/19/2011,Salt Lake,Honeycomb,Skier,New Snow/Old Snow Interface,12.0,720.0,6000.0,North,10200.0
4/18/2011,Salt Lake,Twin Lakes area,Snowshoer,Unknown,12.0,720.0,2400.0,East,9200.0
4/19/2011,Salt Lake,Flagstaff Ridge,Skier,New Snow/Old Snow Interface,10.0,420.0,4200.0,West,10200.0
4/21/2011,Salt Lake,Flagstaff Ridge,Snowboarder,Unknown,8.0,1200.0,3600.0,Southeast,9600.0
4/22/2011,Salt Lake,Murdock Peak,Skier,New Snow/Old Snow Interface,8.0,360.0,3000.0,Southeast,8500.0
4/22/2011,Salt Lake,West Bowl,Skier,Graupel,12.0,720.0,3000.0,East,10100.0
4/22/2011,Salt Lake,Gobblers Knob,Natural,Facets,48.0,1200.0,9600.0,East,10000.0
4/18/2011,Logan,Mitton Face,Natural,New Snow/Old Snow Interface,12.0,960.0,12000.0,East,8400.0
4/22/2011,Salt Lake,Days Fork,Skier,New Snow/Old Snow Interface,10.0,1800.0,7200.0,North,10200.0
4/26/2011,Salt Lake,Scotties Bowl,Skier,New Snow,6.0,360.0,2400.0,North,9700.0
4/27/2011,Salt Lake,Scotties Bowl,Snowboarder,Surface Hoar,1.0,840.0,3600.0,Northeast,9300.0
4/27/2011,Salt Lake,Kessler Peak,Skier,New Snow/Old Snow Interface,6.0,480.0,18000.0,Northeast,10400.0
4/27/2011,Salt Lake,Little Superior,Skier,New Snow/Old Snow Interface,18.0,6000.0,30000.0,South,10200.0
4/27/2011,Provo,Provo,Skier,New Snow/Old Snow Interface,12.0,2400.0,21000.0,East,11300.0
4/30/2011,Logan,Providence Canyon,Skier,New Snow/Old Snow Interface,6.0,480.0,2400.0,North,7800.0
5/11/2011,Ogden,Ogden,Natural,Unknown,42.0,3000.0,27000.0,East,9400.0
5/17/2011,Salt Lake,Grizzly Gulch,Skier,New Snow/Old Snow Interface,9.0,180.0,360.0,Northwest,10000.0
5/20/2011,Salt Lake,Park City,Skier,New Snow/Old Snow Interface,8.0,120.0,4800.0,East,9600.0
6/2/2011,Salt Lake,Superior,Skier,Unknown,6.0,480.0,5400.0,South,9500.0
11/6/2011,Salt Lake,Collins Gulch,Skier,Unknown,12.0,180.0,600.0,Northeast,10000.0
11/7/2011,Salt Lake,Scotts Bowl,Skier,Facets,8.0,960.0,600.0,Northeast,9800.0
11/12/2011,Salt Lake,Gad Valley,Snowboarder,Facets,12.0,1200.0,2400.0,Northeast,9200.0
11/12/2011,Logan,Miller Bowl,Natural,Facets,12.0,1800.0,3000.0,North,8500.0
11/13/2011,Salt Lake,Rocky Point,Skier,Ground Interface,16.0,3000.0,4800.0,Northeast,10400.0
11/13/2011,Salt Lake,Baldy,Skier,Facets,20.0,1200.0,6000.0,North,10000.0
11/13/2011,Salt Lake,Twin Lakes Pass,Skier,Unknown,18.0,480.0,2400.0,East,10000.0
11/13/2011,Salt Lake,Grizzly Gulch,Skier,Unknown,12.0,3000.0,1800.0,North,9700.0
11/12/2011,Salt Lake,Catherines,Skier,Unknown,12.0,480.0,720.0,North,10500.0
11/13/2011,Salt Lake,Baldy,Skier,Facets,30.0,180.0,360.0,North,10400.0
11/13/2011,Salt Lake,Gad Valley,Snowboarder,Depth Hoar,16.0,1800.0,9600.0,Northwest,10300.0
11/13/2011,Salt Lake,Gunsight,Skier,Unknown,22.0,600.0,4800.0,North,10200.0
11/12/2011,Salt Lake,Days Fork,Skier,Ground Interface,6.0,720.0,960.0,Northeast,9200.0
11/13/2011,Salt Lake,Alta Ski Area,Skier,Unknown,20.0,540.0,6000.0,Northwest,9600.0
11/13/2011,Salt Lake,Monitors,Natural,Unknown,14.0,960.0,9600.0,Northeast,10000.0
11/14/2011,Logan,Tony Grove-Blind Hollow Saddle,Natural,Facets,24.0,1200.0,2400.0,North,8800.0
11/14/2011,Salt Lake,Salt Lake,Natural,Unknown,12.0,960.0,9600.0,Northeast,10000.0
11/13/2011,Salt Lake,Twin Lakes Pass,Unknown,Facets,20.0,480.0,3000.0,East,10200.0
11/13/2011,Salt Lake,West Bowl,Natural,Facets,18.0,4800.0,6000.0,North,10000.0
11/20/2011,Salt Lake,Pioneer Ridge,Skier,Facets,36.0,2400.0,8400.0,Northwest,10100.0
11/20/2011,Salt Lake,Grizzly Gulch,Skier,Ground Interface,42.0,240.0,960.0,North,9600.0
11/25/2011,Salt Lake,Hidden Canyon,Unknown,Unknown,24.0,960.0,3000.0,North,10100.0
12/16/2011,Moab,Gravel Pit Lanes,Natural,Facets,9.0,1800.0,7200.0,Northeast,11200.0
12/17/2011,Salt Lake,Salt Lake,Skier,Surface Hoar,8.0,360.0,2400.0,North,10400.0
12/17/2011,Salt Lake,Pioneer Ridge,Skier,Facets,6.0,420.0,1500.0,Northeast,9800.0
12/22/2011,Salt Lake,Cardiff Bowl,Skier,Facets,12.0,240.0,1080.0,East,10000.0
12/22/2011,Salt Lake,West Monitor,Natural,Facets,18.0,480.0,8400.0,Northeast,10000.0
12/23/2011,Salt Lake,Cardiac Bowl,Skier,Surface Hoar,10.0,300.0,4200.0,Northeast,10500.0
12/26/2011,Salt Lake,West Desolation Ridge,Skier,Unknown,9.0,720.0,2100.0,North,9400.0
12/26/2011,Salt Lake,Claytons,Skier,Facets,8.0,240.0,2100.0,Northeast,10200.0
12/26/2011,Salt Lake,Hidden Canyon,Skier,Facets,4.0,480.0,1800.0,North,10300.0
12/31/2011,Salt Lake,West Monitor,Skier,Unknown,15.0,2100.0,9600.0,Northeast,10000.0
12/31/2011,Salt Lake,Brighton,Snowboarder,Unknown,8.0,720.0,3000.0,Northeast,9500.0
1/1/2012,Logan,White Pine Knob,Skier,Facets,14.0,1200.0,3000.0,East,8400.0
12/31/2011,Salt Lake,West Bowl,Natural,Depth Hoar,12.0,1200.0,6000.0,North,10000.0
1/2/2012,Salt Lake,No Name Bowl,Skier,Unknown,12.0,300.0,8400.0,Northeast,9200.0
12/31/2011,Ogden,Cutler Basin,Natural,Facets,6.0,600.0,1200.0,Northeast,8300.0
1/2/2012,Salt Lake,Maybird Gulch,Skier,Facets,10.0,720.0,4200.0,North,10800.0
1/3/2012,Salt Lake,Little Water Peak,Natural,Unknown,12.0,840.0,6000.0,North,9400.0
1/8/2012,Salt Lake,Cardiff Bowl,Skier,New Snow,8.0,540.0,2400.0,East,9600.0
1/3/2012,Provo,Dry Fork,Skier,Unknown,12.0,1200.0,3600.0,East,10000.0
1/9/2012,Provo,Dry Fork,Skier,New Snow/Old Snow Interface,14.0,480.0,6000.0,East,10000.0
1/11/2012,Salt Lake,Twin Lakes area,Skier,Facets,18.0,720.0,3000.0,Northeast,10300.0
1/9/2012,Salt Lake,Scotts Bowl,Natural,Unknown,8.0,360.0,4800.0,Northeast,9700.0
1/2/2012,Salt Lake,Scotts Bowl,Unknown,Unknown,24.0,1800.0,4800.0,Northeast,9700.0
1/15/2012,Salt Lake,Silver Fork,Skier,Unknown,4.0,720.0,840.0,North,9300.0
1/17/2012,Ogden,Wolf Creek Pass,Skier,Facets,36.0,1500.0,4800.0,Northeast,9800.0
1/18/2012,Logan,South Richards Hollow,Skier,Unknown,12.0,960.0,6000.0,East,8900.0
1/19/2012,Salt Lake,Canyons side country,Natural,New Snow,6.0,3600.0,8400.0,North,9800.0
1/19/2012,Salt Lake,Patsy Marly,Skier,Facets,15.0,1800.0,2400.0,North,9800.0
1/19/2012,Salt Lake,10420,Skier,Depth Hoar,18.0,240.0,360.0,East,9600.0
1/19/2012,Salt Lake,10420,Natural,Facets,8.0,840.0,3600.0,East,10200.0
1/19/2012,Logan,"South Side, Beaver Canyon",Natural,Facets,12.0,480.0,1800.0,West,6900.0
1/19/2012,Salt Lake,West Monitor,Skier,Unknown,14.0,6000.0,10800.0,Northeast,9800.0
1/19/2012,Salt Lake,Scotts Peak,Skier,Facets,7.0,1200.0,7200.0,Northeast,10000.0
1/19/2012,Salt Lake,Twin Lakes Pass,Skier,Facets,22.0,18000.0,10800.0,East,10300.0
1/19/2012,Salt Lake,Mill A,Skier,Unknown,12.0,3600.0,4200.0,West,8800.0
1/20/2012,Salt Lake,Claytons,Unknown,Depth Hoar,36.0,1800.0,6000.0,East,10200.0
1/20/2012,Salt Lake,Twin Lakes Pass,Skier,Facets,42.0,4200.0,8400.0,Northeast,10000.0
1/20/2012,Salt Lake,Hidden Canyon,Snowboarder,Depth Hoar,42.0,1500.0,3600.0,Northeast,9500.0
1/20/2012,Salt Lake,Toms Hill,Skier,Facets,13.0,3000.0,1200.0,Northeast,9000.0
1/20/2012,Salt Lake,Short Swing,Skier,Facets,12.0,480.0,720.0,Northwest,8700.0
1/20/2012,Skyline,Skyline,Skier,Facets,30.0,2400.0,1800.0,East,9500.0
1/20/2012,Logan,Beaver Mountain Backside,Skier,Unknown,24.0,960.0,600.0,Northeast,8600.0
1/20/2012,Salt Lake,Grizzly Gulch,Unknown,Facets,14.0,6000.0,2400.0,Northwest,9100.0
1/20/2012,Salt Lake,Days Fork,Skier,Facets,16.0,30000.0,8400.0,North,10100.0
1/19/2012,Salt Lake,Silver Fork Headwall,Natural,Facets,16.0,18000.0,6000.0,North,9900.0
1/20/2012,Salt Lake,No Name Bowl,Skier,Facets,24.0,3600.0,12000.0,Northeast,9700.0
1/20/2012,Salt Lake,Flagstaff Gully,Skier,Facets,14.0,840.0,4800.0,Southeast,9600.0
1/20/2012,Salt Lake,Highway to Heaven,Skier,Facets,12.0,960.0,4800.0,East,10200.0
1/20/2012,Salt Lake,White Pine Canyon,Skier,Facets,20.0,1200.0,4800.0,East,9700.0
1/20/2012,Salt Lake,Davenport Hill,Skier,Facets,16.0,6000.0,8400.0,North,10000.0
1/20/2012,Salt Lake,East Bowl,Skier,Facets,16.0,960.0,4200.0,West,10100.0
1/19/2012,Salt Lake,Reynolds East Face,Unknown,Facets,12.0,7200.0,7200.0,Northeast,9300.0
1/20/2012,Salt Lake,Reynolds Pk,Skier,Facets,14.0,720.0,2400.0,Northwest,9200.0
1/20/2012,Salt Lake,Soldier Fork,Skier,Facets,18.0,9600.0,9600.0,Northeast,9100.0
1/20/2012,Salt Lake,Big Water,Skier,Facets,16.0,1200.0,9600.0,Northeast,8800.0
1/21/2012,Logan,Garden City Canyon,Skier,Depth Hoar,24.0,600.0,1080.0,Northeast,8500.0
1/20/2012,Logan,"Garden City Bowl, the Gut",Unknown,Depth Hoar,24.0,1500.0,4200.0,Northeast,8600.0
1/21/2012,Salt Lake,Bear Trap,Unknown,New Snow/Old Snow Interface,15.0,4200.0,2400.0,West,9600.0
1/21/2012,Salt Lake,Summit Park,Skier,Unknown,20.0,1800.0,4800.0,North,8500.0
1/21/2012,Salt Lake,Mill D North,Skier,Unknown,18.0,600.0,360.0,Northeast,8200.0
1/20/2012,Ogden,Powder Mountain,Skier,Facets,30.0,1200.0,360.0,East,7400.0
1/22/2012,Salt Lake,Hidden Canyon,Snowboarder,Unknown,60.0,960.0,7200.0,North,10200.0
1/22/2012,Provo,Chablis,Skier,Depth Hoar,30.0,4800.0,4800.0,Northeast,9100.0
1/21/2012,Uintas,Uintas,Natural,Unknown,30.0,7200.0,720.0,Northeast,10100.0
1/22/2012,Ogden,Cutler Ridge,Natural,New Snow,36.0,2400.0,1800.0,Northeast,7500.0
1/21/2012,Logan,Beaver Mountain Backside,Snowboarder,Depth Hoar,36.0,840.0,1800.0,Northeast,8500.0
1/22/2012,Provo,Chablis,Skier,Facets,36.0,3000.0,4800.0,Northeast,9100.0
1/20/2012,SE Idaho,Cub River,Snowmobiler,New Snow/Old Snow Interface,30.0,2400.0,1800.0,East,8000.0
1/23/2012,Salt Lake,West Monitor,Skier,Facets,48.0,1800.0,10800.0,Northeast,10100.0
1/22/2012,Salt Lake,Happy Days,Skier,Facets,30.0,480.0,1200.0,Northeast,8400.0
1/23/2012,Salt Lake,Happy Days,Unknown,Unknown,30.0,540.0,1200.0,Northeast,8100.0
1/24/2012,Salt Lake,Bear Trap,Skier,Facets,24.0,840.0,600.0,North,8500.0
1/24/2012,Salt Lake,South Square Chutes,Unknown,Facets,36.0,2400.0,8400.0,East,9600.0
1/24/2012,Ogden,Whiskey Hill,Snowmobiler,Ground Interface,84.0,2400.0,7200.0,Unknown,9000.0
1/26/2012,Skyline,Skyline,Natural,Depth Hoar,14.0,480.0,600.0,Northwest,8800.0
1/26/2012,Skyline,Skyline,Natural,Facets,14.0,720.0,600.0,Northwest,8200.0
1/27/2012,Salt Lake,Red Cliffs,Unknown,Facets,36.0,1200.0,7200.0,East,9600.0
1/27/2012,Salt Lake,Toledo Chutes,Skier,New Snow/Old Snow Interface,12.0,420.0,8400.0,Southeast,10200.0
1/27/2012,Salt Lake,Days Fork,Skier,Depth Hoar,36.0,2400.0,9600.0,North,10100.0
1/27/2012,Skyline,Skyline,Skier,New Snow/Old Snow Interface,30.0,3000.0,1200.0,East,9200.0
1/25/2012,Uintas,Uintas,Snowmobiler,Depth Hoar,36.0,6000.0,2400.0,East,10200.0
1/28/2012,Salt Lake,Kessler Peak,Snowboarder,Facets,30.0,12000.0,30000.0,West,10200.0
1/29/2012,Salt Lake,Two Dogs,Skier,Facets,24.0,4800.0,6000.0,Northeast,10300.0
1/28/2012,Uintas,Chalk Creek,Skier,Depth Hoar,36.0,2100.0,4800.0,North,10400.0
1/29/2012,Salt Lake,Tuscarora,Skier,Facets,42.0,840.0,9600.0,East,10600.0
1/29/2012,Salt Lake,Lake Desolation,Skier,Facets,18.0,1500.0,5400.0,West,9700.0
1/29/2012,Skyline,Lake Canyon,Unknown,Depth Hoar,36.0,1500.0,2400.0,North,10000.0
2/3/2012,SE Idaho,Franklin Basin,Snowboarder,Unknown,18.0,600.0,1200.0,North,7900.0
2/4/2012,Salt Lake,Mary Ellen,Snowmobiler,Facets,48.0,960.0,8400.0,North,10600.0
2/12/2012,Salt Lake,Twin Lakes Pass,Unknown,Facets,7.0,1200.0,1800.0,North,10000.0
2/12/2012,Salt Lake,No No Name,Natural,Unknown,8.0,6000.0,4800.0,East,9700.0
2/13/2012,Salt Lake,Pink Pine,Unknown,New Snow,14.0,420.0,4200.0,East,9100.0
2/12/2012,Provo,UFO Bowls,Natural,New Snow/Old Snow Interface,9.0,1800.0,9600.0,Northeast,10000.0
2/12/2012,Salt Lake,West Monitor,Natural,Density Change,12.0,3600.0,10800.0,Northeast,10100.0
2/15/2012,Logan,Castle Rock,Natural,New Snow/Old Snow Interface,10.0,600.0,6000.0,Northeast,9500.0
2/13/2012,Salt Lake,Mill B South,Natural,Unknown,24.0,3600.0,15000.0,North,10700.0
2/16/2012,Uintas,Race Track Bowl,Snowmobiler,Depth Hoar,36.0,1200.0,4800.0,North,9900.0
2/19/2012,Salt Lake,Tri-county Peak,Natural,New Snow/Old Snow Interface,2.0,360.0,480.0,South,9600.0
2/19/2012,Provo,Chablis,Natural,New Snow,6.0,2400.0,12000.0,East,10400.0
2/19/2012,Provo,Ant Knolls,Snowmobiler,Facets,12.0,2400.0,5400.0,Southeast,9500.0
2/20/2012,Salt Lake,West Bowl,Skier,Surface Hoar,10.0,600.0,2400.0,North,9800.0
2/20/2012,Salt Lake,Pine Cone Ridge,Explosive,Depth Hoar,30.0,3600.0,7200.0,Northeast,9600.0
2/18/2012,Uintas,Windy Peak,Snowmobiler,Depth Hoar,30.0,2400.0,1800.0,Southwest,10300.0
2/21/2012,Salt Lake,Dog Lake area,Skier,Density Change,5.0,720.0,4200.0,Northeast,9700.0
2/20/2012,Salt Lake,Lowe Peak,Skier,New Snow/Old Snow Interface,8.0,840.0,1200.0,Southeast,9400.0
2/22/2012,Logan,"Double Top Ridge, North",Snowmobiler,Surface Hoar,36.0,2400.0,6000.0,Northeast,9000.0
2/23/2012,Salt Lake,Monitors,Skier,Unknown,18.0,540.0,9600.0,Northeast,10100.0
2/22/2012,Logan,Naomi Trail,Snowmobiler,Facets,30.0,7200.0,4200.0,East,8800.0
2/22/2012,Logan,Football Field,Natural,Surface Hoar,24.0,1200.0,1080.0,Southwest,7700.0
2/24/2012,Salt Lake,Kessler,Explosive,Surface Hoar,48.0,7200.0,24000.0,Northwest,10000.0
2/24/2012,Logan,Crescent Lake Canyon,Snowmobiler,Surface Hoar,24.0,2100.0,2400.0,Northeast,9000.0
2/24/2012,Uintas,Uintas,Skier,Depth Hoar,30.0,600.0,1200.0,East,10000.0
2/24/2012,Ogden,Whiskey Hill,Snowmobiler,Facets,36.0,3600.0,4200.0,Northeast,9000.0
2/24/2012,Salt Lake,Murdock Pk,Skier,New Snow/Old Snow Interface,1.0,1080.0,4200.0,Southeast,9400.0
2/24/2012,Salt Lake,"White Pine Canyon, North Fork",Snowmobiler,Surface Hoar,24.0,2400.0,600.0,East,8800.0
2/26/2012,Salt Lake,Cardiff Pass,Skier,Unknown,12.0,2100.0,5400.0,South,10100.0
2/25/2012,Provo,Dry Fork,Snowmobiler,Unknown,36.0,960.0,1200.0,Southwest,10400.0
2/26/2012,Salt Lake,Days Fork,Skier,Unknown,12.0,1500.0,6000.0,East,10300.0
2/25/2012,Moab,Moab,Skier,Unknown,13.0,300.0,840.0,Northeast,10300.0
2/25/2012,Ogden,WC Backcountry,Natural,Unknown,20.0,1200.0,960.0,Northeast,7800.0
2/22/2012,Logan,Upper Steam Mill,Snowmobiler,Surface Hoar,18.0,1200.0,2400.0,Northeast,9000.0
2/28/2012,Salt Lake,Alexander Basin,Skier,New Snow/Old Snow Interface,8.0,2400.0,7200.0,East,9500.0
2/28/2012,Salt Lake,South Monitor Bowl,Skier,New Snow/Old Snow Interface,18.0,1800.0,8400.0,Southeast,10000.0
2/28/2012,Salt Lake,Summit Park,Skier,Unknown,30.0,1200.0,2400.0,North,7700.0
2/28/2012,Salt Lake,Davenport Hill,Skier,Unknown,30.0,1200.0,4800.0,Northeast,10000.0
2/28/2012,Salt Lake,Main Porter,Unknown,Unknown,10.0,1800.0,2400.0,Northwest,9200.0
2/29/2012,Provo,Chablis,Skier,Density Change,24.0,3600.0,7200.0,Northeast,9200.0
3/1/2012,Salt Lake,Brighton Perimeter,Explosive,Unknown,36.0,960.0,2400.0,Northwest,10000.0
3/1/2012,Salt Lake,Canyons side country,Unknown,Unknown,24.0,960.0,2400.0,Northwest,9200.0
3/1/2012,Salt Lake,Monitors,Natural,Facets,36.0,10800.0,10800.0,North,10000.0
3/1/2012,Salt Lake,Brighton Perimeter,Skier,New Snow,24.0,4200.0,3000.0,Northeast,10000.0
3/1/2012,Salt Lake,Meadows,Skier,Facets,24.0,1800.0,5400.0,Northeast,8900.0
3/2/2012,Salt Lake,South Face of Reynolds,Skier,Unknown,18.0,2400.0,9600.0,Southeast,9000.0
3/2/2012,Salt Lake,Main Days,Natural,Unknown,30.0,12000.0,12000.0,Northeast,10400.0
3/2/2012,Logan,White Rock Hollow,Skier,Depth Hoar,42.0,12000.0,8400.0,Northeast,9000.0
3/2/2012,Uintas,Upper Weber Canyon,Snowboarder,New Snow/Old Snow Interface,30.0,960.0,4800.0,East,10400.0
3/2/2012,Uintas,Red Creek,Natural,New Snow,10.0,12000.0,8400.0,North,10300.0
3/2/2012,Uintas,Reservoir Ridge,Natural,Unknown,30.0,12000.0,3600.0,East,9700.0
3/2/2012,Ogden,Holbrook Creek,Snowmobiler,Facets,30.0,600.0,2400.0,North,8400.0
3/2/2012,Logan,Green Gate Area,Natural,Density Change,8.0,720.0,1500.0,North,7400.0
3/2/2012,Provo,Ipanna,Natural,Unknown,30.0,3000.0,21000.0,East,10100.0
3/3/2012,Moab,Beaver Basin,Snowmobiler,Unknown,24.0,8400.0,12000.0,Southeast,10200.0
3/3/2012,Salt Lake,Reynolds East Face Shoulder,Skier,Density Change,36.0,3600.0,7200.0,East,9300.0
3/3/2012,Uintas,Co-op Creek,Snowmobiler,New Snow/Old Snow Interface,24.0,2100.0,4200.0,East,9000.0
3/3/2012,Salt Lake,west porter,Unknown,Unknown,30.0,3600.0,6000.0,Northeast,9500.0
3/3/2012,Salt Lake,Mt Aire,Skier,Unknown,24.0,1200.0,165882.571379395,East,970.0461536314392
3/2/2012,Ogden,Ben Lomond Headwall,Natural,Unknown,30.0,4800.0,3600.0,North,8600.0
3/3/2012,Salt Lake,Mineral Fork,Skier,Unknown,24.0,1800.0,7200.0,West,8600.0
3/4/2012,Salt Lake,Mt Aire,Skier,New Snow/Old Snow Interface,24.0,2400.0,12000.0,East,8100.0
3/4/2012,Provo,Snake Creek,Snowmobiler,Ground Interface,48.0,6000.0,12000.0,East,9700.0
3/4/2012,Salt Lake,Mountain Dell Canyon,Natural,Unknown,18.0,12000.0,6000.0,Southeast,8600.0
3/4/2012,Logan,"Mt. Magog, South Ridge",Unknown,Unknown,48.0,3600.0,4800.0,Southeast,9400.0
3/4/2012,Salt Lake,Davenport Hill,Explosive,Unknown,30.0,10800.0,12000.0,Southeast,10000.0
3/4/2012,Salt Lake,Caribou Basin,Unknown,Unknown,42.0,1800.0,9600.0,South,10000.0
3/4/2012,Salt Lake,Patsy Marly,Explosive,Unknown,36.0,3600.0,6000.0,West,9600.0
3/4/2012,Salt Lake,Lake Mary,Unknown,Density Change,9.0,600.0,1200.0,Southeast,9200.0
3/3/2012,Salt Lake,Butler Fork,Natural,New Snow/Old Snow Interface,14.0,840.0,2400.0,East,9100.0
3/4/2012,Provo,Bunnels,Natural,Unknown,48.0,12000.0,36000.0,East,10800.0
3/4/2012,Salt Lake,Flagstaff Ridge,Natural,Unknown,30.0,4200.0,6000.0,South,9700.0
3/4/2012,Uintas,Uintas,Snowmobiler,Depth Hoar,24.0,9600.0,7200.0,East,9500.0
