Title,Handheld?,Max Players,Multiplatform?,Online?,Genres,Licensed?,Publishers,Sequel,Review Score,Sales,Used Price,Console,Rating,Re-release?,Year,CT_All,CT_Comp,CT_MainExtra,CT_MainOnly
Super Monkey Ball: Banana Blitz,True,4,True,True,Action,True,Sega,True,74,1.0,14.95,Nintendo Wii,T,True,2006,5.4,-100.0,-100.0,5.4
The Sims 2: Pets,True,1,True,True,Simulation,True,EA,True,49,0.97,14.95,Nintendo DS,T,True,2006,27.7,-100.0,27.7,-100.0
Need for Speed: Carbon - Own the City,True,1,True,True,Racing / Driving,True,EA,True,73,0.93,16.95,Sony PSP,E,True,2006,18.03,20.35,-100.0,15.72
WarioWare: Smooth Moves,True,6,True,True,Action,True,Nintendo,True,83,0.9,39.95,Nintendo Wii,T,True,2006,3.0,8.0,5.0,2.5
Fight Night Round 3,True,2,True,True,Action,True,EA,True,83,0.86,13.95,PlayStation 3,T,True,2006,11.0,10.5,12.5,11.0
Final Fantasy III,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,77,0.86,17.95,Nintendo DS,E,True,2006,44.0,87.27,48.8,25.9
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,True,1,True,True,Action,True,Sony,True,81,0.86,16.95,Sony PSP,E,True,2006,-100.0,-100.0,-100.0,-100.0
Madden NFL 07,True,1,True,True,Sports,True,EA,True,78,0.8300000000000001,9.95,Sony PSP,E,True,2006,-100.0,-100.0,-100.0,-100.0
Monster 4x4: World Circuit,True,4,True,True,Racing / Driving,True,Ubisoft,True,51,0.8200000000000001,12.95,Nintendo Wii,E,True,2006,-100.0,-100.0,-100.0,-100.0
Kirby: Squeak Squad,True,1,True,True,Action,True,Nintendo,True,71,0.8200000000000001,27.95,Nintendo DS,T,True,2006,5.0,6.2,4.82,4.0
Pokmon Battle Revolution,True,4,True,True,Action,True,Nintendo,True,53,0.81,39.95,Nintendo Wii,T,True,2006,15.42,65.72,24.0,13.0
Medal of Honor: Heroes,True,1,True,True,Action,True,EA,True,71,0.81,14.95,Sony PSP,E,True,2006,5.0,-100.0,5.0,5.0
Tekken: Dark Resurrection,True,1,True,True,Action,True,"Namco,Sony",True,88,0.81,17.95,Sony PSP,E,True,2006,30.5,35.08,30.5,2.37
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,77,0.78,16.95,X360,E,True,2006,13.6,20.0,14.0,13.0
Mario vs. Donkey Kong 2: March of the Minis,True,1,True,True,Action,True,Nintendo,True,76,0.77,27.95,Nintendo DS,T,True,2006,4.75,-100.0,6.75,4.32
Sonic Rivals,True,1,True,True,Action,True,Sega,True,64,0.76,17.95,Sony PSP,T,True,2006,6.5,20.0,-100.0,6.0
NCAA Football 07,True,2,True,True,Sports,True,EA,True,79,0.7000000000000001,4.95,X360,E,True,2006,-100.0,-100.0,-100.0,-100.0
Mortal Kombat: Unchained,True,2,True,True,Action,True,Midway,True,70,0.67,17.95,Sony PSP,E,True,2006,4.37,45.0,-100.0,1.75
Tom Clancy's Splinter Cell: Double Agent,True,1,True,True,Action,True,Ubisoft,True,85,0.67,17.95,X360,E,True,2006,11.0,11.33,11.0,11.0
Tetris DS,True,1,True,True,Strategy,True,Nintendo,True,84,0.66,17.95,Nintendo DS,M,True,2006,27.5,33.5,37.0,17.0
LEGO Star Wars II: The Original Trilogy,True,2,True,True,Action,True,Unknown,True,83,0.61,17.95,Sony PSP,T,True,2006,15.0,26.62,15.0,12.0
Red Steel,True,4,True,True,Action,True,Ubisoft,True,63,0.58,14.95,Nintendo Wii,T,True,2006,8.25,-100.0,-100.0,8.25
Metroid Prime: Hunters,True,1,True,True,Action,True,Nintendo,True,85,0.58,27.95,Nintendo DS,E,True,2006,8.73,15.25,8.78,8.63
LEGO Star Wars II: The Original Trilogy,True,2,True,True,Action,True,Unknown,True,81,0.5700000000000001,14.95,X360,E,True,2006,15.0,26.62,15.0,12.0
NBA 2K7 ,True,1,True,True,Sports,True,2K,True,84,0.56,4.95,X360,E,True,2006,8.18,-100.0,-100.0,8.18
SEGA Genesis Collection,True,2,True,True,Action,True,Sega,True,82,0.55,17.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
Call of Duty 3,True,1,True,True,Action,True,Activision,True,80,0.52,19.95,PlayStation 3,T,True,2006,8.45,10.0,11.0,8.0
NBA Live 07,True,1,True,True,Sports,True,EA,True,64,0.51,7.95,Sony PSP,E,True,2006,-100.0,-100.0,-100.0,-100.0
Madden NFL 07,True,2,True,True,Sports,True,EA,True,76,0.49,6.95,PlayStation 3,T,True,2006,-100.0,-100.0,-100.0,-100.0
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,48,0.49,12.95,Sony PSP,T,True,2006,11.85,15.7,-100.0,8.0
Madden NFL 07,True,4,True,True,Sports,True,EA,True,81,0.48,9.95,Nintendo Wii,E,True,2006,-100.0,-100.0,-100.0,-100.0
Fight Night Round 3,True,2,True,True,Action,True,EA,True,74,0.48,16.95,Sony PSP,T,True,2006,11.0,10.5,12.5,11.0
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,75,0.47,17.95,PlayStation 3,T,True,2006,13.6,20.0,14.0,13.0
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,67,0.47,17.95,Nintendo Wii,M,True,2006,13.6,20.0,14.0,13.0
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,81,0.45,12.95,X360,E,True,2006,9.12,50.48,-100.0,9.0
Tiger Woods PGA Tour 07,True,1,True,True,Sports,True,EA,True,80,0.45,9.95,X360,T,True,2006,10.0,-100.0,-100.0,10.0
Viva Pi$?ata,True,4,True,True,Simulation,True,Microsoft,True,84,0.44,16.95,X360,E,True,2006,39.5,50.0,32.43,19.0
SpongeBob Squarepants: Creature from the Krusty Krab,True,1,True,True,Action,True,THQ,True,57,0.44,14.95,Nintendo Wii,T,True,2006,6.83,7.67,8.0,5.33
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,68,0.42,17.95,Sony PSP,M,True,2006,17.0,-100.0,18.38,17.0
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,81,0.42,16.95,X360,E,True,2006,17.0,-100.0,18.38,17.0
NBA LIVE 07 ,True,1,True,True,Sports,True,EA,True,59,0.42,4.95,X360,T,True,2006,-100.0,-100.0,-100.0,-100.0
Excite Truck,True,2,True,True,Racing / Driving,True,Nintendo,True,72,0.4,19.95,Nintendo Wii,M,True,2006,14.0,25.0,12.0,7.0
Harvest Moon DS,True,1,True,True,Role-Playing (RPG),True,Unknown,True,67,0.4,17.95,Nintendo DS,T,True,2006,55.13,75.0,69.08,45.13
Star Fox Command,True,1,True,True,Action,True,Nintendo,True,76,0.39,14.95,Nintendo DS,T,True,2006,3.0,-100.0,6.6,3.0
Metal Gear Solid: Portable Ops,True,1,True,True,Action,True,Konami,True,87,0.39,17.95,Sony PSP,T,True,2006,12.08,30.0,15.05,11.58
Marvel Ultimate Alliance,True,4P,True,True,Action,True,Activision,True,73,0.38,17.95,Nintendo Wii,M,True,2006,14.0,24.82,17.0,12.37
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,66,0.37,16.95,X360,E,True,2006,-100.0,-100.0,-100.0,-100.0
Major League Baseball 2K6,True,2,True,True,Sports,True,2K,True,66,0.37,4.95,X360,T,True,2006,8.0,8.0,-100.0,-100.0
NCAA Football 07,True,1,True,True,Sports,True,EA,True,75,0.36,9.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
MLB 06: The Show,True,2,True,True,Sports,True,Sony,True,83,0.35,9.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,67,0.35,16.95,PlayStation 3,T,True,2006,-100.0,-100.0,-100.0,-100.0
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,78,0.34,14.95,Sony PSP,T,True,2006,9.12,50.48,-100.0,9.0
Rune Factory: A Fantasy Harvest Moon,True,1,True,True,Role-Playing (RPG),True,Unknown,True,78,0.34,24.95,Nintendo DS,T,True,2006,67.08,38.0,88.67,-100.0
Marvel Ultimate Alliance,True,1,True,True,Action,True,Activision,True,81,0.34,22.95,Sony PSP,E,True,2006,14.0,24.82,17.0,12.37
Marvel Ultimate Alliance,True,4,True,True,Action,True,Activision,True,78,0.33,24.95,PlayStation 3,M,True,2006,14.0,24.82,17.0,12.37
Tiger Woods PGA Tour 07,True,4,True,True,Sports,True,EA,True,81,0.32,14.95,PlayStation 3,E,True,2006,10.0,-100.0,-100.0,10.0
Ace Combat X: Skies of Deception,True,1,True,True,Action,True,Namco,True,75,0.32,22.95,Sony PSP,E,True,2006,4.12,12.5,4.73,3.75
Killzone: Liberation,True,1,True,True,Action,True,Sony,True,77,0.32,16.95,Sony PSP,M,True,2006,8.0,9.53,10.45,7.9
F.E.A.R.: First Encounter Assault Recon,True,1,True,True,Action,True,Unknown,True,85,0.32,17.95,X360,E,True,2006,9.0,11.87,10.07,8.42
NBA 2K7,True,7,True,True,Sports,True,2K,True,80,0.31,7.95,PlayStation 3,E,True,2006,8.18,-100.0,-100.0,8.18
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,76,0.3,14.95,PlayStation 3,T,True,2006,17.0,-100.0,18.38,17.0
Avatar: The Last Airbender,True,1,True,True,Action,True,THQ,True,64,0.3,17.95,Nintendo DS,E,True,2006,5.0,4.0,-100.0,6.0
Castlevania: Portrait of Ruin,True,1,True,True,Action,True,Konami,True,85,0.3,17.95,Nintendo DS,M,True,2006,12.0,23.9,12.0,10.53
Hitman: Blood Money,True,1,True,True,Action,True,Eidos,True,82,0.29,22.95,X360,E,True,2006,13.0,18.9,14.75,12.0
Rockstar Games presents Table Tennis,True,2,True,True,Sports,True,Rockstar,True,81,0.28,9.95,X360,M,True,2006,6.0,-100.0,6.0,6.0
Trauma Center: Second Opinion,True,1,True,True,Action,True,Nintendo,True,80,0.28,17.95,Nintendo Wii,T,True,2006,9.0,16.0,10.08,8.5
Tenchu Z,True,1,True,True,Action,True,Microsoft,True,56,0.28,14.95,X360,E,True,2006,21.25,67.0,12.0,20.88
Elite Beat Agents,True,1,True,True,Action,True,Nintendo,True,87,0.27,9.95,Nintendo DS,M,True,2006,4.5,35.0,4.5,4.0
Street Fighter Alpha 3 MAX,True,1,True,True,Action,True,Capcom,True,80,0.27,14.95,Sony PSP,M,True,2006,3.0,-100.0,4.0,2.0
Blue Dragon,True,1,True,True,Role-Playing (RPG),True,Microsoft,True,79,0.27,14.95,X360,T,True,2006,51.72,103.0,55.0,46.03
The Lord of the Rings: The Battle for Middle Ea...,True,1,True,True,Strategy,True,EA,True,79,0.27,19.95,X360,T,True,2006,16.58,25.0,20.0,14.5
Prey,True,1,True,True,Action,True,2K,True,79,0.27,14.95,X360,T,True,2006,8.0,12.0,9.0,7.95
Over the Hedge,True,1,True,True,Adventure,True,Activision,True,71,0.26,16.95,Nintendo DS,E,True,2006,5.93,15.0,5.93,2.0
Capcom Classics Collection Reloaded,True,1,True,True,Action,True,Capcom,True,75,0.26,17.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
Pirates of the Caribbean: Dead Man's Chest,True,1,True,True,Action,True,Unknown,True,52,0.26,14.95,Sony PSP,T,True,2006,2.5,3.75,2.83,2.08
NHL 07 ,True,1,True,True,Sports,True,EA,True,79,0.26,5.95,X360,T,True,2006,9.0,8.0,-100.0,10.0
Monster Hunter Freedom,True,1,True,True,Action,True,Capcom,True,71,0.25,12.95,Sony PSP,E,True,2006,101.1,683.13,76.0,60.0
Chromehounds,True,1,True,True,Action,True,Sega,True,71,0.25,14.95,X360,T,True,2006,16.0,72.0,16.0,10.0
Test Drive Unlimited,True,1,True,True,Racing / Driving,True,Atari,True,82,0.25,17.95,X360,T,True,2006,38.5,100.0,50.0,30.0
Dragon Ball Z: Budokai Tenkaichi 2,True,2,True,True,Action,True,Atari,True,72,0.24,14.95,Nintendo Wii,E,True,2006,14.6,25.0,14.2,10.0
Dragon Quest Monsters: Joker,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,75,0.24,14.95,Nintendo DS,T,True,2006,37.65,63.63,35.83,37.3
Pirates of the Caribbean: Dead Man's Chest,True,1,True,True,Action,True,Unknown,True,63,0.24,11.95,Nintendo DS,E,True,2006,2.5,3.75,2.83,2.08
NFL Street 3,True,1,True,True,Action,True,EA,True,68,0.24,14.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
Syphon Filter: Dark Mirror,True,1,True,True,Action,True,Sony,True,87,0.24,12.95,Sony PSP,M,True,2006,7.28,15.0,9.25,7.0
NBA 07,True,4,True,True,Sports,True,Sony,True,63,0.23,6.95,PlayStation 3,T,True,2006,-100.0,-100.0,-100.0,-100.0
Ridge Racer 7,True,2,True,True,Racing / Driving,True,"Namco,Sony",True,78,0.23,19.95,PlayStation 3,E,True,2006,12.5,50.0,15.0,10.0
The Outfit,True,2,True,True,Action,True,THQ,True,70,0.23,14.95,X360,E,True,2006,7.87,-100.0,7.75,8.0
Elebits,True,4,True,True,Action,True,Konami,True,75,0.22,14.95,Nintendo Wii,T,True,2006,9.0,-100.0,-100.0,9.0
Tony Hawk's Downhill Jam,True,1,True,True,Racing / Driving,True,Activision,True,76,0.22,14.95,Nintendo DS,T,True,2006,-100.0,-100.0,-100.0,-100.0
The Sims 2: Pets,True,1,True,True,Simulation,True,EA,True,57,0.21,17.95,Sony PSP,T,True,2006,27.7,-100.0,27.7,-100.0
Tiger Woods PGA Tour 07,True,1,True,True,Sports,True,EA,True,78,0.21,12.95,Sony PSP,E,True,2006,10.0,-100.0,-100.0,10.0
Thrillville,True,1,True,True,Simulation,True,Atari,True,72,0.2,14.95,Sony PSP,E,True,2006,8.23,-100.0,8.23,-100.0
The Godfather: The Game,True,1,True,True,Action,True,EA,True,77,0.2,17.95,X360,T,True,2006,20.0,29.0,23.07,15.0
Rampage: Total Destruction,True,4,True,True,Action,True,Midway,True,46,0.19,16.95,Nintendo Wii,E,True,2006,5.0,-100.0,-100.0,5.0
College Hoops 2K7,True,4,True,True,Sports,True,2K,True,82,0.19,6.95,X360,T,True,2006,-100.0,-100.0,-100.0,-100.0
Far Cry: Instincts - Predator,True,4,True,True,Action,True,Ubisoft,True,78,0.19,17.95,X360,E,True,2006,17.92,20.0,18.0,14.98
Full Auto,True,2,True,True,Action,True,Sega,True,70,0.19,16.95,X360,E,True,2006,5.0,-100.0,-100.0,5.0
Age of Empires: The Age of Kings,True,1,True,True,Strategy,True,Unknown,True,80,0.19,17.95,Nintendo DS,T,True,2006,50.0,70.0,61.0,46.0
Need for Speed: Carbon - Own the City,True,1,True,True,Action,True,EA,True,70,0.19,14.95,Nintendo DS,T,True,2006,18.03,20.35,-100.0,15.72
Brothers in Arms: D-Day,True,1,True,True,Action,True,Ubisoft,True,65,0.19,6.95,Sony PSP,T,True,2006,8.0,-100.0,-100.0,8.0
Family Guy Video Game!,True,1,True,True,Action,True,2K,True,51,0.19,19.95,Sony PSP,M,True,2006,5.88,-100.0,-100.0,5.88
Superman Returns,True,1,True,True,Action,True,EA,True,51,0.19,7.95,X360,E,True,2006,22.0,22.5,-100.0,7.0
Over G Fighters,True,2,True,True,Simulation,True,Ubisoft,True,49,0.18,17.95,X360,E,True,2006,-100.0,-100.0,-100.0,-100.0
Final Fantasy XI Online,True,1,True,True,Action,True,SquareEnix,True,66,0.18,4.95,X360,E,True,2006,-100.0,-100.0,-100.0,-100.0
Mystery Dungeon: Shiren the Wanderer,True,1,True,True,Action,True,Sega,True,69,0.17,17.95,Nintendo DS,T,True,2006,33.0,44.0,-100.0,22.0
Phoenix Wright: Ace Attorney - Justice for All,True,1,True,True,Adventure,True,Capcom,True,76,0.17,13.95,Nintendo DS,E,True,2006,18.3,19.78,19.92,17.5
Justice League Heroes,True,1,True,True,Action,True,Unknown,True,72,0.17,17.95,Sony PSP,M,True,2006,5.0,21.1,-100.0,5.0
Valhalla Knights,True,1,True,True,Action,True,Unknown,True,53,0.17,16.95,Sony PSP,T,True,2006,100.0,-100.0,100.0,-100.0
Genji: Days of the Blade,True,1,True,True,Action,True,Sony,True,55,0.17,14.95,PlayStation 3,T,True,2006,12.0,-100.0,-100.0,12.0
Top Spin 2,True,4,True,True,Sports,True,2K,True,75,0.16,12.95,X360,T,True,2006,10.0,-100.0,-100.0,10.0
Field Commander,True,2,True,True,Strategy,True,"Sony,Ubisoft",True,77,0.16,14.95,Sony PSP,T,True,2006,13.88,-100.0,-100.0,13.88
Children of Mana,True,1,True,True,Action,True,"Nintendo,SquareEnix",True,65,0.16,16.95,Nintendo DS,E,True,2006,22.12,28.93,23.55,15.0
Valkyrie Profile: Lenneth,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,80,0.16,22.95,Sony PSP,E,True,2006,34.38,40.12,35.07,29.98
Monster House,True,1,True,True,Action,True,THQ,True,62,0.15,14.95,Nintendo DS,M,True,2006,6.67,6.67,-100.0,-100.0
Enchanted Arms,True,1,True,True,Role-Playing (RPG),True,Ubisoft,True,69,0.15,17.95,X360,E,True,2006,40.0,47.45,43.03,21.83
NHL 07,True,4,True,True,Sports,True,EA,True,76,0.14,12.95,Sony PSP,M,True,2006,9.0,8.0,-100.0,10.0
Bust-a-Move Deluxe,True,2,True,True,Strategy,True,Unknown,True,73,0.14,14.95,Sony PSP,M,True,2006,-100.0,-100.0,-100.0,-100.0
Full Auto 2: Battlelines,True,2,True,True,Action,True,Sega,True,67,0.14,14.95,PlayStation 3,T,True,2006,9.58,12.5,10.18,8.75
Blitz: The League,True,2,True,True,Sports,True,Midway,True,69,0.14,14.95,X360,T,True,2006,15.0,-100.0,-100.0,15.0
Star Trek Legacy,True,2,True,True,Action,True,Ubisoft,True,64,0.14,24.95,X360,E,True,2006,9.0,9.0,8.0,11.0
Eragon,True,1,True,True,Action,True,Unknown,True,63,0.14,16.95,Nintendo DS,E,True,2006,8.0,10.0,-100.0,6.0
Master of Illusion,True,1,True,True,Strategy,True,Nintendo,True,69,0.14,14.95,Nintendo DS,E,True,2006,4.1,4.1,-100.0,-100.0
Mega Man ZX,True,1,True,True,Action,True,Capcom,True,76,0.14,19.95,Nintendo DS,T,True,2006,10.97,15.97,11.0,8.95
Untold Legends: The Warrior's Code,True,1,True,True,Action,True,"Sony,Ubisoft",True,65,0.14,14.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
Super Swing Golf,True,1,True,True,Sports,True,Unknown,True,72,0.14,16.95,Nintendo Wii,T,True,2006,-100.0,-100.0,-100.0,-100.0
X-Men: The Official Game,True,1,True,True,Action,True,Activision,True,52,0.14,14.95,X360,M,True,2006,12.07,12.25,11.88,12.5
Untold Legends: Dark Kingdom,True,2,True,True,Action,True,"EA,Sony",True,58,0.13,16.95,PlayStation 3,E,True,2006,25.0,28.0,25.0,-100.0
Happy Feet,True,2,True,True,Action,True,Midway,True,46,0.13,14.95,Nintendo Wii,E,True,2006,0.67,-100.0,-100.0,0.67
Open Season,True,1,True,True,Action,True,Ubisoft,True,72,0.13,17.95,Nintendo DS,T,True,2006,3.75,8.5,2.25,3.5
Dungeon Siege: Throne of Agony,True,1,True,True,Role-Playing (RPG),True,2K,True,74,0.13,24.95,Sony PSP,E,True,2006,16.83,16.83,18.38,17.22
LocoRoco,True,1,True,True,Action,True,Sony,True,83,0.13,17.95,Sony PSP,T,True,2006,6.0,18.67,11.63,5.0
Dead or Alive: Xtreme 2,True,1,True,True,Racing / Driving,True,Unknown,True,53,0.13,14.95,X360,T,True,2006,1.0,-100.0,-100.0,1.0
Fuzion Frenzy 2,True,4,True,True,Action,True,Microsoft,True,49,0.12,14.95,X360,T,True,2006,3.75,9.0,5.0,1.75
MotoGP '06,True,4,True,True,Racing / Driving,True,THQ,True,80,0.12,14.95,X360,M,True,2006,-100.0,-100.0,-100.0,-100.0
Lumines II,True,2,True,True,Strategy,True,Unknown,True,81,0.12,14.95,Sony PSP,E,True,2006,14.5,-100.0,14.0,15.0
Major League Baseball 2K6,True,1,True,True,Sports,True,2K,True,69,0.12,4.95,Sony PSP,M,True,2006,8.0,8.0,-100.0,-100.0
Star Wars: Lethal Alliance,True,1,True,True,Action,True,Ubisoft,True,61,0.12,17.95,Sony PSP,T,True,2006,5.0,-100.0,-100.0,5.0
Worms: Open Warfare,True,1,True,True,Action,True,THQ,True,70,0.12,17.95,Sony PSP,T,True,2006,9.12,10.0,-100.0,8.25
Eragon,True,4,True,True,Action,True,Unknown,True,59,0.11,14.95,Sony PSP,E,True,2006,8.0,10.0,-100.0,6.0
Metal Slug Anthology,True,4,True,True,Action,True,Unknown,True,73,0.11,16.95,Nintendo Wii,T,True,2006,7.0,8.5,11.0,6.0
Open Season,True,4,True,True,Action,True,Ubisoft,True,59,0.11,14.95,X360,E,True,2006,3.75,8.5,2.25,3.5
Tom Clancy's Splinter Cell: Double Agent,True,2,True,True,Action,True,Ubisoft,True,61,0.11,17.95,Nintendo Wii,T,True,2006,11.0,11.33,11.0,11.0
Avatar: The Last Airbender,True,1,True,True,Action,True,THQ,True,57,0.11,17.95,Sony PSP,E,True,2006,5.0,4.0,-100.0,6.0
Lemmings,True,1,True,True,Strategy,True,Sony,True,76,0.11,17.95,Sony PSP,E,True,2006,20.8,13.6,21.0,21.62
Mega Man Powered Up,True,1,True,True,Action,True,Capcom,True,82,0.11,16.95,Sony PSP,E,True,2006,5.75,-100.0,8.0,3.0
College Hoops 2K6,True,1,True,True,Sports,True,2K,True,70,0.11,6.95,X360,E,True,2006,1.57,1.57,-100.0,-100.0
Dynasty Warriors 5: Empires,True,2,True,True,Action,True,Unknown,True,61,0.1,14.95,X360,T,True,2006,22.78,30.0,-100.0,14.0
Magical Starsign,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,69,0.1,9.95,Nintendo DS,E,True,2006,28.78,34.0,32.0,25.83
Resident Evil: Deadly Silence,True,1,True,True,Action,True,Capcom,True,71,0.1,17.95,Nintendo DS,E,True,2006,6.17,10.28,6.0,6.0
X-Men: The Official Game,True,1,True,True,Action,True,Activision,True,50,0.1,14.95,Nintendo DS,E,True,2006,12.07,12.25,11.88,12.5
Cabela's African Safari,True,1,True,True,Sports,True,Activision,True,53,0.1,17.95,X360,E,True,2006,-100.0,-100.0,-100.0,-100.0
Cabela's Alaskan Adventures,True,1,True,True,Sports,True,Activision,True,48,0.1,17.95,X360,E,True,2006,20.0,20.0,-100.0,-100.0
Armored Core 4,True,2,True,True,Action,True,Sega,True,65,0.09,19.95,PlayStation 3,E,True,2006,20.0,-100.0,19.0,23.0
Eragon,True,2,True,True,Action,True,Unknown,True,48,0.09,12.95,X360,T,True,2006,8.0,10.0,-100.0,6.0
LostMagic,True,1,True,True,Action,True,Ubisoft,True,68,0.09,14.95,Nintendo DS,T,True,2006,12.0,9.93,13.02,13.0
Magnetica,True,1,True,True,Action,True,Nintendo,True,68,0.09,17.95,Nintendo DS,T,True,2006,9.93,-100.0,-100.0,9.93
Def Jam Fight for NY: The Takeover,True,1,True,True,Action,True,EA,True,79,0.09,17.95,Sony PSP,T,True,2006,5.15,-100.0,-100.0,5.15
NASCAR 07,True,1,True,True,Racing / Driving,True,EA,True,66,0.09,24.95,Sony PSP,T,True,2006,-100.0,-100.0,-100.0,-100.0
The Ant Bully,True,1,True,True,Action,True,Midway,True,45,0.09,16.95,Nintendo Wii,T,True,2006,3.5700000000000003,-100.0,-100.0,3.5700000000000003
Just Cause,True,1,True,True,Action,True,Eidos,True,73,0.09,16.95,X360,E,True,2006,10.0,28.0,20.0,8.12
Onechanbara: Bikini Samurai Squad,True,1,True,True,Action,True,Unknown,True,39,0.09,19.95,X360,E,True,2006,7.83,44.12,31.63,5.0
Phantasy Star Universe,True,1,True,True,Role-Playing (RPG),True,Sega,True,64,0.09,24.95,X360,E,True,2006,28.93,55.5,29.0,26.82
Project Sylpheed: Arc of Deception,True,1,True,True,Action,True,"Microsoft,SquareEnix",True,64,0.09,14.95,X360,T,True,2006,4.83,-100.0,15.0,4.0
Winning Eleven: Pro Evolution Soccer 2007,True,6,True,True,Sports,True,Konami,True,80,0.08,11.95,X360,E,True,2006,37.0,64.0,-100.0,10.0
Kororinpa: Marble Mania,True,2,True,True,Action,True,Nintendo,True,69,0.08,17.95,Nintendo Wii,T,True,2006,-100.0,-100.0,-100.0,-100.0
Digimon World DS,True,1,True,True,Role-Playing (RPG),True,Namco,True,49,0.08,27.95,Nintendo DS,E,True,2006,32.12,37.0,37.23,25.0
Justice League Heroes,True,1,True,True,Action,True,Unknown,True,43,0.08,17.95,Nintendo DS,E,True,2006,5.0,21.1,-100.0,5.0
Innocent Life: A Futuristic Harvest Moon,True,1,True,True,Role-Playing (RPG),True,Unknown,True,67,0.08,17.95,Sony PSP,E,True,2006,33.73,-100.0,33.73,-100.0
Power Stone Collection,True,1,True,True,Action,True,Capcom,True,74,0.08,14.95,Sony PSP,M,True,2006,8.37,-100.0,8.37,-100.0
EA Replay,True,4,True,True,Action,True,EA,True,56,0.07,14.95,Sony PSP,E,True,2006,-100.0,-100.0,-100.0,-100.0
Open Season,True,4,True,True,Action,True,Ubisoft,True,49,0.07,17.95,Nintendo Wii,M,True,2006,3.75,8.5,2.25,3.5
Samurai Warriors 2,True,4,True,True,Action,True,Unknown,True,52,0.07,14.95,X360,M,True,2006,47.5,50.12,44.38,30.0
Far Cry: Vengeance,True,2,True,True,Action,True,Ubisoft,True,38,0.07,16.95,Nintendo Wii,E,True,2006,-100.0,-100.0,-100.0,-100.0
Import Tuner Challenge,True,2,True,True,Racing / Driving,True,Ubisoft,True,54,0.07,17.95,X360,E,True,2006,39.0,40.0,39.0,25.0
Contact,True,1,True,True,Adventure,True,Unknown,True,73,0.07,14.95,Nintendo DS,E,True,2006,14.58,21.77,19.18,11.73
Touch Detective,True,1,True,True,Adventure,True,Unknown,True,60,0.07,14.95,Nintendo DS,T,True,2006,6.13,8.0,7.5,6.0
FIFA Street 2,True,1,True,True,Sports,True,EA,True,58,0.07,17.95,Sony PSP,T,True,2006,20.0,30.37,20.0,19.5
007: From Russia with Love,True,1,True,True,Action,True,EA,True,61,0.07,17.95,Sony PSP,T,True,2006,6.5,-100.0,7.0,6.27
PaRappa the Rapper,True,1,True,True,Action,True,Sony,True,67,0.07,12.95,Sony PSP,T,True,2006,1.42,3.3,4.5,1.12
Riviera: The Promised Land,True,1,True,True,Role-Playing (RPG),True,Unknown,True,68,0.07,17.95,Sony PSP,M,True,2006,24.27,-100.0,24.0,24.53
Samurai Warriors: State of War,True,1,True,True,Action,True,Unknown,True,64,0.07,17.95,Sony PSP,E,True,2006,10.5,-100.0,-100.0,10.5
Viewtiful Joe: Red Hot Rumble,True,1,True,True,Action,True,Capcom,True,63,0.07,14.95,Sony PSP,E,True,2006,9.9,-100.0,13.45,4.8
Ice Age 2: The Meltdown,True,1,True,True,Action,True,Unknown,True,66,0.07,17.95,Nintendo Wii,E,True,2006,8.5,-100.0,13.5,5.0
Rumble Roses XX,True,4,True,True,Action,True,Konami,True,62,0.06,17.95,X360,E,True,2006,126.0,156.0,96.0,-100.0
Bionicle Heroes,True,1,True,True,Action,True,Eidos,True,72,0.06,16.95,Nintendo DS,T,True,2006,12.88,18.33,24.0,9.75
Deep Labyrinth,True,1,True,True,Role-Playing (RPG),True,Unknown,True,57,0.06,10.95,Nintendo DS,T,True,2006,13.57,-100.0,-100.0,13.57
Blade Dancer: Lineage of Light,True,1,True,True,Role-Playing (RPG),True,Unknown,True,60,0.06,16.95,Sony PSP,E,True,2006,29.5,28.35,-100.0,29.75
